amount,transaction_freq_24h,account_age_days,is_weekend,risk_score,is_fraud
496.36,3,552,1,0.3,0
129.36,1,82,0,0.0,0
775.13,3,952,1,0.3,0
937.44,2,645,0,0.0,0
52.02,6,333,1,0.3,0
99.52,2,659,1,0.3,0
415.89,4,592,1,0.3,0
266.76,2,899,1,0.3,0
359.88,4,795,0,0.0,0
155.95,4,915,0,0.0,0
881.82,4,945,0,0.0,0
796.62,5,112,0,0.0,0
390.96,1,842,0,0.0,0
1129.83,1,997,0,0.9,1
584.11,4,218,0,0.0,0
154.98,4,908,1,0.3,0
529.18,3,668,0,0.0,0
140.29,4,709,0,0.0,0
880.98,4,781,1,0.3,0
348.16,4,380,0,0.0,0
304.21,4,983,0,0.0,0
185.24,3,816,1,0.3,0
1242.81,4,480,0,0.9,1
313.58,4,680,0,0.0,0
238.47,3,1044,1,0.3,0
257.35,2,387,1,0.3,0
623.22,5,978,1,0.3,0
527.44,0,15,0,0.7,1
552.98,2,869,0,0.0,0
563.07,4,649,0,0.0,0
3115.77,1,777,1,1.2,1
243.76,6,631,1,0.3,0
219.28,2,524,0,0.0,0
162.2,4,170,0,0.0,0
677.6,2,266,0,0.0,0
1131.79,5,992,0,0.9,0
326.57,1,445,0,0.0,0
157.97,1,175,0,0.0,0
160.47,5,141,0,0.0,0
701.47,2,315,1,0.3,0
769.58,3,801,1,0.3,0
630.01,3,407,1,0.3,0
188.12,1,471,1,0.3,0
461.62,2,748,1,0.3,0
411.28,5,663,1,0.3,0
455.44,3,90,1,0.3,0
874.82,2,429,1,0.3,0
457.68,5,769,0,0.0,0
721.62,2,776,1,0.3,0
391.57,6,454,0,0.0,0
488.68,6,235,0,0.0,0
688.06,4,201,1,0.3,1
85.24,4,99,1,0.3,0
265.85,1,123,1,0.3,0
228.65,6,1062,0,0.0,0
193.2,2,452,0,0.0,0
277.95,0,351,0,0.0,1
1631.94,7,488,0,1.5,1
153.97,3,567,0,0.0,0
963.78,1,151,0,0.0,0
68.01,2,990,1,0.3,0
261.83,3,528,1,0.3,0
